,facility_name,facility_address,rating
330,PIZZA STUDIO,735 S FIGUEROA ST # 115,3.5
331,WAYPOINT KITCHEN,6151 W CENTURY BLVD,3.5
332,CASITA TACO AL CARBON  #3,609 S SPRING ST,
334,OB BEAR RESTAURANT,3002 1/2 W 7TH ST,
335,ONDAL 2,4566 W WASHINGTON BLVD,4.0
337,CAFE DELI E PARK CENTRAL BLD,412 W 6TH ST STE 101,
338,QWENCH 9TH AND FLOWER,645 W 9TH ST STE 109,
339,ROCK N FISH,800 W OLYMPIC BLVD STE A160,
340,DK DONERKING,6756 HOLLYWOOD BLVD,
341,SIMPLY SALAD,11726 SAN VICENTE BLVD # 150,4.0
342,WASABI JAPANESE NOODLE HOUSE,3444 WILSHIRE BLVD,3.0
343,MALI HOM,3446 WILSHIRE BLVD,
344,IL BAMBINO RESTAURANT,1403 HOOPER AVE,
345,CAPTAIN LEE'S SEAFOOD,404 S FIGUEROA ST STE 401-B,
346,DR .SEBI'S  CELLFOOD,8588 VENICE BLVD,
347,SUBWAY #23131,908 S SANTEE ST,
348,RUSTY MULLET,1708 N LAS PALMAS AVE,3.0
349,BOTANICA VIDA NATURAL,4501 S ALAMEDA ST #E 19/20,
350,FRENCH BISTRO,1216 1/2 S SANTEE ST,
351,HAPPY NOODLE CO,3458 1/2 WILSHIRE BLVD,
352,TREJO'S TACOS,1556 N CAHUENGA BLVD,
353,THE VEGGIE GRILL,6374 W SUNSET BLVD STE #A,
354,SALATA ON FLOWER,505 S FLOWER ST STE B430,3.0
355,KENTUCKY FRIED CHICKEN,320 N SOTO ST,
356,BARISTA SOCIETY,300 S GRAND AVE LP 155,4.5
357,H&H MARKET LIQUOR,1862 GLENDALE BLVD,
358,PAYLESS FOODS MKT,620 E EL SEGUNDO BLVD,
359,PRONTO CAFFE & TEA,3530 WILSHIRE BLVD STE 102,3.5
360,CORAL REEF RESTAURANT,3200 GLENDALE BLVD,
361,DELICIOUS TOGETHER,859 SANTEE ST,4.5
362,THAI FANTASY,5900 MONTEREY RD,3.0
363,VILLAGE TAVERN,3216 GLENDALE BLVD,
364,EL POLLO LOCO #5322,1224 S SOTO ST,
365,BLACK MAGIC COFFEE,2415 E CESAR CHAVEZ AVE,
366,CATHEDRAL HIGH SCH CAFETERIA,1253 BISHOPS RD,
367,TWO GUYS FRUM ITALY,6705 HOLLYWOOD BLVD,
368,PIZZA HUT #25408,611 E IMPERIAL HWY STE 104,
369,BURGER KING # 1417,12736 S AVALON BLVD,
370,HUGO'S TACOS,3300 GLENDALE BLVD,
371,HOOTERS RESTAURANTS,6922 HOLLYWOOD BLVD,2.5
372,SAFFRON,505 S FLOWER ST STE B250,3.5
373,HARRY'S WINE & SPIRITS,11684 SAN VICENTE BLVD,
374,SMART & FINAL #735,1833 S LA CIENEGA BLVD,
375,NENA RESTAURANT,1804 E VERNON AVE # D-51,
376,VILLANUEVA RESTAURANT & BAR,5620 S MAIN ST,5.0
377,SUBWAY SANDWICHES,6151 W CENTURY BLVD STE D,3.0
378,LMU,1 LMU DR #MS 8420,
379,JJ'S SANDWICH BAR,119 E 6TH ST,
380,MINI MERCADITO IN E.L.A.,3425 E 1ST ST STE 132,3.5
381,MR BOBA,700 WESTERN AVE # 102,
382,CHUTNEY'S,2406 S BARRINGTON AVE,
383,LOS COMPADRES MEAT MARKET,4483 E WHITTIER BLVD,
384,FOOD 4 LESS #399,11507 S WESTERN AVE,
385,RANCHO ZAPOTILLO ( MEAT MARK,3003 WABASH AVE,
386,FRIENDS+FAMILY,5150 HOLLYWOOD BLVD,
387,MEATLAND BAKERY,3801 E 1ST ST,4.0
388,THE ORIGINAL RINALDI'S DELI AND CAFE,6171 W CENTURY BLVD # 1068,
389,J AND P DELI,307 6TH ST,
391,DOLLAR GIANT,4000 W 3RD ST,
394,WAKE & LATE,107 E 6TH ST,
395,LAS CHAMPAS RESTAURANT #12,4509 WHITTIER BLVD,
396,HOLLYWOOD BANQUET HALL,5214 W SUNSET BLVD,4.0
397,THE CHEESE BOX AT WALLY'S,2107 WESTWOOD BLVD,
398,BERRYLAND INTERNATIONAL INC,3500 W 6TH ST # F,
399,ASTRO BURGERS,5601 MELROSE AVE,3.5
400,CATALINA'S BAR & GRILL,6725 W SUNSET BLVD,
401,WABA GRILL,5527 HOLLYWOOD BLVD,
402,WOOD HANDCRAFTED PIZZA,2861 W SUNSET BLVD,
403,SEEMA'S BURGERIM,3959 WILSHIRE BLVD STE B9,
404,SAENG SAENG GIMBAP & SNACK,901 S WESTERN AVE # 101,2.5
405,JD BARGAINS,4013 W PICO BLVD,
406,U PICK CAFE,4682 YORK BLVD,4.5
407,CAFE BLEU,3470 W 6TH ST STE 8B,4.0
408,FARMER BOYS HOLLYWOOD,5519 HOLLYWOOD BLVD,3.5
409,BROOKLYN WATER BAGEL,8732 SEPULVEDA BLVD,
410,BELWOOD BAKERY,8735 TAMPA AVE,4.5
411,MYUNG DONG KYO JA,3630 WILSHIRE BLVD,
412,SNAPPY FOOD MART & DELI,5205 W IMPERIAL HWY,
413,LA CEVICHERIA,3809 W PICO BLVD,4.5
414,L&L HAWAIIAN BBQ,4430 YORK BLVD # B,
415,BOMBAY GRILL INDIAN FOOD,6775 SANTA MONICA BLVD # 7,
416,MANDRAKE,2692 S LA CIENEGA BLVD,
417,EIGHT KOREAN BBQ,863 S WESTERN AVE,4.5
418,LANDMARK THEATRE,10850 W PICO BLVD # 520,
419,HARD ROCK CAFE HOLLYWOOD,6801 HOLLYWOOD BLVD STE 105,3.5
420,MCDONALD'S # 18368,690 S ALAMEDA ST,
421,MARCO'S PIZZA,2215 WESTWOOD BLVD # D,
422,WHICH WICH #403,5529 HOLLYWOOD BLVD,
423,FIG & OLIVE MELROSE PL.,650 N LA CIENEGA BLVD,
424,VIVOLI CAFE & TRATTORIA,7994 W SUNSET BLVD,
425,KENTUCK FRIED CHICKEN #187,6421 YORK BLVD,
426,LE MONACO,3660 WILSHIRE BLVD STE 120,4.5
427,FRANK N HANKS,518 S WESTERN AVE,4.0
428,GAAM,3465 W 6TH ST STE 300,3.5
430,TRIMANA,9841 AIRPORT BLVD,
431,CROWN OF INDIA,6755 SANTA MONICA BLVD,4.0
432,BEARD PAPA'S,2130 SAWTELLE BLVD STE 110,
433,"NUMERO, UNO MARKET # 105",2214 S SAN PEDRO ST,
434,BAJA FRESH,6922 HOLLYWOOD BLVD STE #106,3.0
435,JAMBA JUICE #1546,122 N LARCHMONT BLVD,
436,DONUT STAR,11079 W PICO BLVD,4.5
437,ROCK N ROLL SUSHI,8000 W SUNSET BLVD # A 202,3.5
439,MEATLAND CARNICERIA,112 N GAGE AVE,3.5
440,MR. HOLMES BAKEHOUSE,248 N LARCHMONT BLVD,
441,THE POKE SHACK,7257 MELROSE AVE,
442,VENICE JAPANESE COMMUNITY CT,12448 BRADDOCK DR,
443,AY-DO-NO,5911 HOLLYWOOD BLVD,4.0
444,SUMMER BUFFALO,7275 MELROSE AVE # A,4.5
445,DONG IL JANG,3455 W 8TH ST,
446,TRIMANA,3550 WILSHIRE BLVD STE #116,
447,JENI'S SPLENDID ICE CREAM,123 N LARCHMONT BLVD,
448,DENNY'S #6865,3750 WILSHIRE BLVD,
449,MCDONALD'S #6688,201 W WASHINGTON BLVD,
450,POKE BAR,1916 COLORADO BLVD STE B,
451,SANSAI JAPANESE GRILL,8601 LINCOLN BLVD STE 120,3.0
452,LIVE BASIL PIZZA-SMASH BURGER-TOM'S URBAN,1011 S FIGUEROA ST B101 -B201,
453,CLEO,8384 W 3RD ST,3.5
454,QWENCH,1501 SAN PABLO ST,2.5
455,LOS ANGELES TENNIS CLUB,5851 CLINTON ST,4.5
456,AMAPOLA DELI & MARKET,7223 S COMPTON AVE,
457,PBJ.LA,317 S BROADWAY # C-11,4.0
458,BERLIN CURRYWURST,317 S BROADWAY ST #C1/2,4.0
460,SUBWAY #12481,7353 MELROSE AVE,
461,KARL STRAUSS,600 WILSHIRE BLVD,4.5
462,THE CARVING BOARD,7300 W SUNSET BLVD # I,
463,24 HOUR FITNESS- MY STORE,6380 W SUNSET BLVD,
464,CRAZY CHICKEN,701 S VERMONT AVE,
465,TLT FOOD,1116 WESTWOOD BLVD,4.0
466,SIAM CHAN RESTAURANT,1611 COLBY AVE,3.5
467,SMITTEN ICE CREAM,10250 SANTA MONICA BLVD # 9190,4.0
